name,root,third,fifth,label,key
Ebmajor,155.56,196,233.08,Eb,Q
Bbmajor,233.08,293.66,349.23,Bb,W
Fmajor,174.61,220,261.63,F,E
Cmajor,130.81,164.81,196,C,R
Gmajor,392,493.88,587.33,G,T
Dmajor,293.66,369.99,440,D,Y
Amajor,220,277.18,329.63,A,U
Emajor,329.63,415.3,493.88,E,I
Bmajor,246.94,311.13,369.99,B,O
Ebminor,155.56,185,233.08,Eb,A
Bbminor,233.08,277.18,349.23,Bb,S
Fminor,174.61,207.65,261.63,F,D
Cminor,130.81,155.56,196,C,F
Gminor,392,466.16,587.33,G,G
Dminor,293.66,349.23,440,D,H
Aminor,220,261.63,329.63,A,J
Eminor,329.63,392,493.88,E,K
Bminor,246.94,293.66,369.99,B,L
